release,release_kind,release_date,other_share,other_weighted_churn_points,total_weighted_churn_points,top_paths
rust-v0.105.0-alpha.16,prerelease,2026-02-23T20:15:12Z,0.2193,274.0,1249.64,codex-rs/{exec-server/src/posix => shell-escalation/src/unix}/escalate_server.rs (115); codex-rs/shell-escalation/src/unix/core_shell_escalation.rs (71); codex-rs/{exec-server/src/posix => shell-escalation/src/unix}/escalate_protocol.rs (30); codex-rs/{exec-server/src/posix => shell-escalation/src/unix}/escalate_client.rs (22); codex-rs/shell-escalation/src/lib.rs (21); codex-rs/{exec-server/src/posix => shell-escalation/src/unix}/stopwatch.rs (8); codex-rs/shell-escalation/src/unix/mod.rs (7); codex-rs/{exec-server/src/posix => shell-escalation/src/unix}/socket.rs (0)
rust-v0.105.0-alpha.17,prerelease,2026-02-24T12:08:59Z,0.0524,449.0,8575.56,codex-rs/network-proxy/src/runtime.rs (141); codex-rs/shell-escalation/src/unix/escalate_server.rs (77); codex-rs/shell-escalation/src/unix/mod.rs (71); codex-rs/shell-escalation/src/unix/socket.rs (60); codex-rs/shell-escalation/src/lib.rs (42); codex-rs/shell-escalation/src/unix/execve_wrapper.rs (25); codex-rs/shell-escalation/src/unix/core_shell_escalation.rs (13); codex-rs/network-proxy/src/proxy.rs (8)
rust-v0.105.0-alpha.18,prerelease,2026-02-24T10:08:31-08:00,0.0611,131.0,2143.28,codex-rs/utils/pty/src/tests.rs (103); codex-rs/utils/pty/src/pty.rs (28)
rust-v0.105.0-alpha.19,prerelease,2026-02-24T11:46:46-08:00,0.3835,1039.0,2709.0,codex-rs/network-proxy/src/mitm.rs (482); codex-rs/network-proxy/src/certs.rs (344); codex-rs/network-proxy/src/http_proxy.rs (120); codex-rs/arg0/src/lib.rs (30); codex-rs/shell-escalation/src/unix/escalate_server.rs (12); codex-rs/network-proxy/src/responses.rs (11); codex-rs/network-proxy/src/state.rs (10); codex-rs/network-proxy/src/runtime.rs (8)
rust-v0.105.0-alpha.20,prerelease,2026-02-24T13:39:58-08:00,0.0629,379.0,6020.7,codex-rs/utils/sleep-inhibitor/src/linux_inhibitor.rs (240); codex-rs/utils/sleep-inhibitor/src/windows_inhibitor.rs (119); codex-rs/utils/sleep-inhibitor/src/lib.rs (20)
rust-v0.105.0-alpha.22,prerelease,2026-02-24T18:49:51-08:00,0.1233,197.0,1598.0,codex-rs/shell-escalation/src/unix/core_shell_escalation.rs (73); codex-rs/arg0/src/lib.rs (69); codex-rs/shell-escalation/src/unix/escalate_server.rs (39); codex-rs/shell-escalation/src/lib.rs (10); codex-rs/shell-escalation/src/unix/mod.rs (6)
rust-v0.105.0-alpha.25,prerelease,2026-02-25T13:57:09Z,0.5176,1462.0,2824.5,codex-rs/utils/stream-parser/src/utf8_stream.rs (333); codex-rs/utils/stream-parser/src/inline_hidden_tag.rs (323); codex-rs/utils/stream-parser/src/proposed_plan.rs (212); codex-rs/utils/stream-parser/src/citation.rs (179); codex-rs/test-macros/src/lib.rs (155); codex-rs/utils/stream-parser/src/assistant_text.rs (130); codex-rs/{core/src/tagged_block_parser.rs => utils/stream-parser/src/tagged_line_parser.rs} (71); codex-rs/utils/stream-parser/src/stream_text.rs (36)
rust-v0.106.0-alpha.1,prerelease,2026-02-25T09:59:47-08:00,0.1717,427.0,2487.6,codex-rs/network-proxy/src/socks5.rs (188); codex-rs/network-proxy/src/http_proxy.rs (183); codex-rs/network-proxy/src/runtime.rs (53); codex-rs/network-proxy/src/state.rs (1); codex-rs/network-proxy/src/reasons.rs (1); codex-rs/network-proxy/src/lib.rs (1)
rust-v0.106.0-alpha.7,prerelease,2026-02-25T19:12:34-08:00,0.6667,8.0,12.0,codex-rs/.cargo/config.toml (8)
rust-v0.106.0-alpha.8,prerelease,2026-02-25T20:59:29-08:00,0.5833,14.0,24.0,codex-rs/.cargo/config.toml (12); codex-rs/node-version.txt (2)
rust-v0.107.0-alpha.1,prerelease,2026-02-26T15:16:43-08:00,0.0714,259.0,3629.88,codex-rs/shell-escalation/src/unix/escalate_server.rs (211); codex-rs/shell-escalation/src/unix/escalate_protocol.rs (33); codex-rs/shell-escalation/src/lib.rs (10); codex-rs/shell-escalation/src/unix/mod.rs (5)
rust-v0.108.0-alpha.2,prerelease,2026-03-02T21:05:20-08:00,0.0713,171.0,2397.1,codex-rs/file-search/src/lib.rs (171)
rust-v0.108.0-alpha.6,prerelease,2026-03-03T16:14:08-08:00,0.07,324.0,4629.7,codex-rs/utils/image/src/lib.rs (185); codex-rs/network-proxy/src/http_proxy.rs (139)
